,STATION,LATITUDE,LONGITUDE
379,CAIAPONIA,-16.96666666,-51.81749999
380,PORTO SEGURO,-16.388977,-39.182389
381,MIRANDA,-20.38333333,-56.41666666
382,XINGUARA,-7.11027777,-49.92583332
383,MATEIROS,-10.434441,-45.921941
384,TURIACU,-1.66166666,-45.37277777
385,CANTO DO BURITI,-8.117939,-42.975721
386,PAMPULHA,-19.883945,-43.969397
387,QUARAI,-30.3686111,-56.43722221
388,BARBACENA,-21.228373,-43.767703
389,CARUARU,-8.36527777,-36.02833332
390,ITAPACI,-14.979792,-49.539977
391,SERRINHA,-11.66472222,-39.02305554
392,CRATEUS,-5.186636,-40.672128
393,URUCARA,-2.89638888,-57.75833333
394,ITUVERAVA,-20.35944444,-47.77499999
395,MINEIROS,-17.45472222,-52.60111111
396,CAMAQUA,-30.81055555,-51.83472221
397,MARABA,-5.366447,-49.051166
398,IBIRUBA,-28.653458,-53.111881
399,NOVO HORIZONTE,-26.406499,-52.850366
400,CRUZEIRO DO SUL,-7.61055555,-72.405
401,PORTO ALEGRE,-30.053536,-51.174766
402,SAO BORJA,-28.65,-56.01638888
403,CARLINDA,-9.970586,-55.827543
404,IGUAPE,-24.71666666,-47.55
405,VOTUPORANGA,-20.40333333,-49.96611111
406,TOME ACU,-2.59249999,-48.36055555
407,BATAGUASSU,-21.750123,-52.471294
408,DIAMANTINA,-18.2311111,-43.64805555
409,PAULISTANA,-8.07999999,-41.07999999
410,TANGARA DA SERRA,-14.65,-57.41666666
411,CORRENTINA,-13.33249999,-44.61749999
412,SAO LUIS DO PARAITINGA,-23.22833332,-45.41722221
413,JOSE BONIFACIO,-21.08555555,-49.92027777
414,LABREA,-7.43527777,-64.7886111
415,CURITIBA,-25.4486111,-49.23055554
416,MONTALVANIA,-14.408228,-44.404123
417,OLIVEIRA,-20.715,-44.86444444
418,LUZIANIA,-16.27222222,-47.96638889
419,LAGES,-27.80222222,-50.33555555
420,ARIRANHA,-21.13305554,-48.84055555
421,TERESOPOLIS,-22.44888888,-42.98722221
422,ITAPETINGA,-15.24472221,-40.22944443
423,SAQUAREMA,-22.8711111,-42.60916666
424,CABACEIRAS,-7.48333333,-36.28638888
425,DTCEA JACAREACANGA,-6.23722221,-57.77499999
426,LINS,-21.666045,-49.734854
427,DIANOPOLIS,-11.594448,-46.847209
428,CARIRA,-10.39972221,-37.74749999
429,SAO JOAO DEL REI,-21.10638888,-44.25083333
430,NOVA FRIBURGO,-22.33305554,-42.67722221
431,DTCEA TEFE,-3.37722221,-64.72305554
432,SENHOR DO BONFIM,-10.44305555,-40.14833333
433,SANTA RITA DE CASSIA,-11.01999999,-44.52499999
434,ANGELICA,-22.14805555,-53.76361111
435,PREGUICAS,-2.592341,-42.707553
436,UBERABA,-19.710028,-47.961889
437,CARAVELAS,-17.739413,-39.258617
438,MONTEIRO,-7.894465,-37.124704
439,ITUVERAVA,-20.35972222,-47.77527777
440,POSSE,-14.08916666,-46.36638888
441,RIO DO CAMPO,-26.93749999,-50.14555555
442,SALINAS,-16.16027777,-42.31027777
443,SAO PAULO - MIRANTE,-23.496294,-46.620088
444,NOVA UBIRATA,-13.68638888,-54.95611111
445,MACAJUBA,-12.13166666,-40.35416666
446,NHUMIRIM,-18.988681,-56.622868
447,LUZIANIA,-16.26055555,-47.96694443
448,SANTO AUGUSTO,-27.85416666,-53.7911111
449,ARIRANHA,-21.13305554,-48.84027777
450,FORMOSO DO ARAGUAIA,-11.88749999,-49.60833333
451,MOSSORO,-4.90416666,-37.36694443
452,FORMOSO DO ARAGUAIA,-11.887377,-49.608215
453,JOACABA,-27.16944443,-51.57555554
454,IPANGUACU,-5.53499999,-36.87222221
455,SAPEZAL,-10.16583333,-59.45111111
456,JUIZ DE FORA,-21.76999999,-43.36416666
457,PARANA,-12.615,-47.87194443
458,PORTO WALTER,-8.26722221,-72.74777777
459,CONDE,-12.035833,-37.683889
460,SAO BENTO,-2.7,-44.85
461,FAROL de SANTANA,-2.27083332,-43.62388888
462,SAO LUIS,-2.52694443,-44.21305555
463,BREVES,-1.68027777,-50.47805554
464,CAMPINA GRANDE,-7.225574,-35.904831
465,CAMPOS DOS GOYTACAZES,-21.71472222,-41.34388888
466,CONCEICAO DO ARAGUAIA,-8.25916666,-49.27416666
467,CAARAPO,-22.65694444,-54.81944443
468,CASTRO,-24.786954,-49.999266
469,JAGUARUANA,-4.83777777,-37.69972221
470,SAO LUIZ GONZAGA,-28.41694443,-54.96222222
471,SOLEDADE,-28.859211,-52.542387
472,PARINTINS,-2.64055555,-56.75472222
473,EB_PEF_BONFIM,3.35888888,-59.82388888
474,SAO SEBASTIAO,-23.810722,-45.402528
475,MARABA,-5.16722221,-49.37916666
476,AGUAS VERMELHAS,-15.75166666,-41.45777777
477,MANICORE,-5.81055555,-61.29194444
478,BRASNORTE (NOVO MUNDO),-12.52194443,-58.23138888
479,ARAGUATINS,-5.6436111,-48.11166666
480,ARRAIAL DO CABO,-22.97527777,-42.02138888
481,PORTO ESTRELA,-15.54638888,-57.38166666
482,IBITINGA,-21.85555555,-48.79972221
483,CAMETA,-2.23972221,-49.49972221
484,TAUA,-6.017474,-40.281321
485,PAO DE ACUCAR,-9.74922,-37.430765
486,TUCUMA,-6.74333333,-51.14194444
487,CIDADE GAUCHA,-23.35916666,-52.93194443
488,ITAPEVA,-23.98194443,-48.88583333
489,JOACABA,-27.16916666,-51.55888888
490,MARABA,-5.36638888,-49.05111111
491,SALVADOR,-13.01666666,-38.51666666
492,NOVA ANDRADINA,-22.078528,-53.465889
493,EUCLIDES DA CUNHA,-10.537233,-38.996605
494,FORMOSA DO RIO PRETO,-11.05222222,-45.20083333
495,ILHA DO MEL,-25.49444444,-48.32583332
496,TERESINA,-5.034769,-42.801341
497,ITABAIANINHA,-11.27249999,-37.79499999
498,DIANOPOLIS,-11.59416666,-46.84722221
499,DIAMANTE DO NORTE,-22.63944444,-52.89027777
500,CHAPADINHA,-3.742674,-43.352084
501,OBIDOS,-1.88083332,-55.51972221
502,RIO PARDO DE MINAS,-15.72277777,-42.43527777
503,NOVA FATIMA,-23.415284,-50.577744
504,MEDICILANDIA,-3.51083333,-52.96361111
505,FORMOSO DO RIO PRETO,-11.052164,-45.200769
506,UNAI,-16.554101,-46.881935
507,PIRIPIRI,-4.26388888,-41.77805554
508,CANELA,-29.36888888,-50.82749999
509,PALMEIRA DAS MISSOES,-27.92166666,-53.31694443
510,CACAPAVA DO SUL,-30.54777777,-53.46749999
511,SERRA DOS AIMORES,-17.7986111,-40.24972221
512,PARACATU,-17.24416666,-46.88166666
513,PONTES E LACERDA,-15.234582,-59.346215
514,CORONEL PACHECO,-21.54694444,-43.26111111
515,DIAMANTE DO NORTE,-22.639366,-52.890156
516,BOM JARDIM DA SERRA - MORRO DA IGREJA,-28.13333333,-49.48333333
517,UNA,-15.28027777,-39.09138888
518,CORRENTINA,-13.332386,-44.617376
519,SAO JOAO DEL REI,-21.106502,-44.250928
520,ARAGUATINS,-5.643725,-48.111839
521,RIO PARDO,-29.87222221,-52.38194443
522,RIO DE JANEIRO - JACAREPAGUA,-22.93999999,-43.40277777
523,CAMPO NOVO DOS PARECIS,-13.78333333,-57.83333333
524,MORADA NOVA,-5.0911111,-38.36472222
525,ITAMARAJU,-17.00694444,-39.55805555
526,SANTANA DO LIVRAMENTO,-30.84249999,-55.61305555
527,JATAI,-17.9236111,-51.71749999
528,BRAGANCA,-1.04527777,-46.78277777
529,ITAJAI,-26.95083333,-48.76194444
530,TRAMANDAI,-30.010268,-50.135887
531,HUMAITA,-7.5525,-63.07138888
532,TUPANCIRETA,-29.0893814,-53.82665025
533,ITUPORANGA,-27.41841,-49.646874
534,VALPARAISO,-21.319138,-50.930158
535,BAIXA GRANDE DO RIBEIRO,-8.333531,-45.094625
536,PAO DE ACUCAR,-9.76583333,-37.44777777
537,CORONEL PACHECO,-21.54666666,-43.26111111
538,OBIDOS,-1.880789,-55.519856
539,MONTE ALEGRE DE GOIAS,-13.25361111,-46.89027777
540,GUARANTA DO NORTE,-9.9525,-54.89777777
541,BARBACENA,-21.22888888,-43.76694443
542,SANTO ANTONIO DO LESTE,-14.92499999,-53.88444444
543,ITAPORANGA,-7.3186111,-38.14083333
544,MINA DO PALITO,-6.31972221,-55.78722221
545,ARACUAI,-16.84888888,-42.44055555
546,PIRIPIRI,-4.276047,-41.794568
547,RANCHO QUEIMADO,-27.678507,-49.042027
548,RIO NEGRINHO,-26.2486111,-49.58055554
549,BARREIRAS,-12.12472221,-45.02694443
550,SAO MATEUS DO SUL,-25.83499999,-50.3686111
551,DTCEA VILHENA,-12.75055555,-60.14916666
552,UBERLANDIA,-18.91694443,-48.25555555
553,CRUZEIRO DO SUL,-7.61055555,-72.6811111
